		EKÝPLER VE KOORDÝNATLAR	
			
	EKÝP	ENLEM	BOYLAM
	7110	37.00016212301965	35.31471490859985
	7120	36.99192743400605	35.30134677886963
	7140	36.99192743400605	35.30134677886963
	7150	36.98455744535248	35.28114974498749
	7160	36.994832384477036	35.35348355770111
	7170	36.973406837938654	35.595563650131226
	7180	37.33469120079406	34.80002045631409
	7190	37.02717780606166	35.30905544757842
	7210	36.976676766468564	35.33678412437439
	7220	37.05590917186811	35.275479555130005
	7230	37.0370016452397	35.3025484085083
	7240	37.02942189874413	35.24606108665466
	7250	36.97930803550234	35.36917984485626
	7260	37.014170184626686	35.378122329711914
	7270	36.951006408144806	35.31408727169037
	7280	36.973016837085005	35.30623376369476
	7290	37.01417875145853	35.281235575675964
	7310	37.04100533024167	35.42135953903198
	7320	37.0475178255767	35.23982226848602
	7410	37.54515577243407	35.40492832660675
	7420	37.03856460621729	35.819050669670105
	7425	37.01326637844141	35.824833512306206
	7426	37.02616708617606	35.82008600234985
	7430	37.02700649855302	35.82259654998779
	7435	37.01432438745218	35.80992043018341
	7445	37.25330395295523	35.065505504608154
	7450	36.58857734234621	35.38178086280823
	7460	37.25158743350214	35.647727251052856
	7470	37.45277214778916	35.8007150888443
	7475	37.4435134451063	35.82667350769043
	7480	37.46698590137349	35.825284123420715
	7485	37.46192325339841	35.817071199417114
	7486	37.47739539958261	35.8316570520401
	7490	37.81622567562785	35.92034697532654
	7510	37.980659018078796	36.08336091041565
	7520	38.25467391835536	36.21558308601379
	7530	36.78129377816189	35.797378420829766
	7540	37.43360613101333	34.87244009971619
	7610	37.035263080986546	35.26790499687195
	7620	37.034727800726856	35.318196415901184
	7630	37.01109462958852	35.39122760295868
	7640	36.99760440926185	35.330936908721924
	7650	37.02367449067637	35.28741002082825
	7660	37.0056971151647	35.23240327835083
	7680	37.05855054141412	35.29485046863556
	7710	37.00798039621451	35.34251868724823
	7720	36.986862785990404	35.37892699241638
	7730	37.01815365725146	35.40162920951843
	7735	37.01815365725146	35.40162920951843
	7740	37.028766664795	35.40502488613129
	7750	36.84511326837914	35.338870882987976
	7760	37.019130218667186	35.320948362350464
	7780	37.02856110003829	35.35576343536377
	7790	36.97930803550234	35.36917984485626
	7810	36.976106789037566	35.3458446264267
	7820	37.045047339207095	35.49505591392517
	7830	36.986862785990404	35.37892699241638
	7840	36.973016837085005	35.30623376369476
	7850	36.98455744535248	35.28114974498749
	7860	36.99760440926185	35.330936908721924
	7870	36.99686321315014	35.290199518203735
	7895	36.97680104669491	35.33677339553833
	7910	37.02367449067637	35.28741002082825
	7920	36.99760440926185	35.330936908721924
	7930	37.019130218667186	35.320948362350464
	7940	36.99415114498988	35.436787605285645
	7950	37.05529269637361	35.38502097129822
	7960	37.05529269637361	35.38502097129822
			
